ID,area,comment,confidence,lat,lng,name,negative,positive,repost,sentiment,thumb,time,uid_0,uid_1,userarea,Shape_Leng,area_code,count,txt
1,武汉·阳光在线,0,0.970603,30.49907939,114.3987324,没有白昼的猫头鹰,0.986771,0.0132288,0,0,0,01月10日 18:58, , ,0,2.931269894,10,1,再这么咳下去，要咳出肺炎
2,武汉·武汉市第一医院,1,0.999723,30.5745905,114.2666098,不动声色的宝宝,0.999875,0.000124758,0,0,0,01月11日 08:53, , ,湖北 武汉,0.410438256,21,1,夜班最怕收毛毛尤其是出不久就重症肺炎的更可怕的是你还要教他的猪一样的父母怎么正确喂奶才不会把她的吖呛死求你们了，不要妄想二胎了害人害己啊
3,武汉·杨家湾,4,0.496211,30.5079676,114.3733181,李弃疗185,0.226705,0.773295,0,2,0,01月15日 08:56, , ,湖北 武汉,2.931269894,10,1,怎么办，每天都要坐地铁往返同济医院的我有点慌了。大家出门一定要戴口罩哟！#武汉肺炎不排除有限人传人可能#
4,武汉·万科汉口传奇唐樾,1,0.973294,30.62222866,114.2581609,司徒翾,0.987982,0.0120178,0,0,0,01月15日 21:56, , ,湖北 武汉,0.30871907,20,1,耶了B    心里在打鼓不会是染上了那个新病毒肺炎吧
5,武汉·宏基汽车客运站,1,0.942312,30.53589227,114.3120913,张边love,0.97404,0.0259597,1,0,0,01月18日 12:59, , ,湖北 武汉,0.918169117,23,1,汽车站还是会查一下体温的，还是在防范肺炎影响
6,武汉·后湖,0,0.725706,30.64924688,114.3013156,王者归来-199001,0.876568,0.123432,0,0,0,01月18日 16:27, , ,0,0.44466066,18,1,泰国发现第二例新型冠状病毒肺炎患者 武汉新型冠状感染肺炎症状是什么？会传染人吗？--手机中研网@QQ浏览器 O网页链接
7,武汉·景虹花园,0,0.804311,30.51801471,114.3160404,飞菲的新家,0.0880602,0.91194,0,2,0,01月18日 20:57, , ,湖北 武汉,2.931269894,10,1,#武汉病毒性肺炎5大谣言#
8,武汉·后湖,8,0.999233,30.64924688,114.3013156,波斯小喵眯眯眼,0.000345164,0.999655,0,2,0,01月19日 13:58, , ,湖北 武汉,0.44466066,18,1,武汉肺炎反正比报道的严重我的肺炎是没有太大问题检查结果都很ok啦公司提前放假咯今天在床上做了一天各种表小可爱一直陪着我2020一定是幸福的一年
9,武汉·南湖名都,5,0.310466,30.50195978,114.3195975,X徐清晨,0.31029,0.68971,0,2,0,01月19日 15:25, , ,湖北 武汉,2.931269894,10,1,医院爆满新型冠状病毒肺炎
10,武汉·街道口,4,0.380019,30.52650357,114.3537022,免费占卜师沐沐,0.278991,0.721009,0,2,0,01月19日 15:25, , ,湖北 武汉,2.931269894,10,1,#上海肺炎##深圳肺炎# 怎么突然就降热搜了，本来我还想着老老实实预防着，但是看热搜降得这么快，我有点慌
11,武汉·武汉音乐学院,4,0.928632,30.53909656,114.2860465,Maxpx,0.0321155,0.967884,0,2,0,01月19日 18:26, , ,其他,0.918169117,23,1,关于肺炎
12,武汉·武汉大学人民医院,218,0.516634,30.53766061,114.2939246,Mr_涂先森,0.217515,0.782485,15,2,0,01月19日 22:55, , ,湖北 武汉,0.918169117,23,1,疫情可防可控，舆情也可防可控还是做好自我防护为先再坚持五天逃离武汉回家过年??#新型冠状病毒传染来源还未找到##武汉发现不明原因肺炎#
13,武汉·红钢城,1,0.996281,30.64005723,114.3951411,十兄弟一条心,0.998326,0.00167365,0,0,0,01月20日 08:30, , ,湖北 武汉,0.721320639,19,1,给肺炎占了一卦 竟然无制。一定要注意，做好防护
14,武汉·光谷软件园,1,0.0251457,30.47945602,114.4011938,life_imprisonment0,0.561316,0.438684,0,0,0,01月20日 09:23, , ,0,2.931269894,10,1,#武汉卫健委发布病毒性肺炎高发注意事项#马上都要春运了…恐慌
15,武汉·湖北卫视栏目部,0,0.82259,30.59520986,114.2995562,吃土的肥肥虾,0.0798346,0.920165,0,2,0,01月20日 09:15,str,wghere,0,0.44466066,18,1,#武汉新增136例新型冠状病毒肺炎病例##北京确诊2例新型冠状病毒肺炎病例##广东确诊1例新型冠状病毒肺炎病例# ???有点慌
16,武汉·武汉高铁站,7,0.996268,30.59386784,114.2866731,山丘小狐狸,0.998321,0.00167936,0,0,0,01月20日 12:50, , ,湖北 武汉,0.44466066,18,1,因为这次肺炎，不敢坐地铁，第一次让我爸来接，之前打了个电话: 挂了挂了，我在导航，不知道往那边走，可能除了菜场，上班，外婆家(有时也会。。。），一个多小时过去了（40分钟车程），咋也不敢打电话，咋也不敢问，咋也不知道发生了什么，我还要等多久呢??
17,武汉·航海汽车客运站,0,0.975131,30.52984702,114.3080416,小a儿-1993,0.0111911,0.988809,0,2,0,01月20日 13:46, , ,湖北 武汉,0.918169117,23,1,#武汉卫健委发布病毒性肺炎高发注意事项#在武汉的小伙伴有注意自己的身体    政府工作做的还是不错的   大家都健健康康  平平安安的过年！
18,武汉·统建·天成美雅,12,0.517037,30.48932162,114.43157,吃瓜群众最靠不住,0.782667,0.217333,0,0,0,01月20日 13:26, , ,湖北 武汉,2.931269894,10,1,#武汉卫健委发布病毒性肺炎高发注意事项# 公司都开始统计回武汉人员状况了
19,武汉·新华路体育场,0,0.969142,30.58917249,114.2684565,缓缓归来cy,0.986114,0.0138859,0,0,0,01月20日 13:18, , ,湖北 武汉,0.30871907,20,1,#武汉卫健委发布病毒性肺炎高发注意事项#外科口罩都没有，怎么预防啊？国家赶紧让厂家多生产点呀
20,武汉·武汉高铁站,5,0.875836,30.59386784,114.2866731,新文青翀仔,0.0558735,0.944126,0,2,0,01月20日 13:11, , ,湖北 武汉,0.44466066,18,1,#武汉机场火车站检测体温# 家里的朋友们注意了我要回去啦#武汉新增136例新型冠状病毒肺炎病例#
21,武汉·街道口,11,0.997455,30.52650357,114.3537022,免费占卜师沐沐,0.998855,0.00114513,0,0,0,01月20日 14:05, , ,湖北 武汉,2.931269894,10,1,#韩国现不明原因肺炎病例# 看到网上说让武汉人不要到处跑，把病毒带出去，确实是武汉这边开始发现的，但是别地域黑太过分了啊，难道还闭关锁市不成？
22,武汉·江汉路,0,0.776248,30.5861812,114.2823964,天怡111,0.899311,0.100689,0,0,0,01月20日 16:59,str,tianyi111,0,0.44466066,18,1,喝咖啡防肺炎不
23,武汉·武汉大学中南医院,8,0.832228,30.55545495,114.3471516,哪有那么多的改变,0.491611,0.508389,0,1,0,01月20日 16:34, , ,0,0.918169117,23,1,#武汉卫健委发布病毒性肺炎高发注意事项#我在医院，发热了，保佑我
24,武汉·宝通寺,1,0.956155,30.53420753,114.3352476,五音不全的柠檬,0.98027,0.0197302,0,0,0,01月20日 17:25, , ,湖北 武汉,0.918169117,23,1,从发现新型肺炎到现在没觉得有多恐怖，今天出门办事才发现好多人都带了口罩，搞得没带口罩的我在人群中瑟瑟发抖！
25,武汉·东湖风景区,4,0.940732,30.54583487,114.4004719,72把刀,0.0266705,0.973329,0,2,0,01月20日 17:10,str,sunm,0,0.918169117,23,1,日常复查，其实这些肺炎注意事项都是我的日常，完全不用担心我，我发现同济医院还挺多带口罩的嘛，不必恐慌，引起重视注意下也挺好
26,武汉·光谷天地,12,0.734318,30.47892653,114.4076088,#NAME?,0.880443,0.119557,0,0,0,01月20日 17:10, , ,0,2.931269894,10,1,最近肺炎很严重 男孩子尽量不要出门到处跑 特别是酒吧网吧ktv夜总会场所 人潮拥挤 容易感染 没关系 你来我房间就好 我房间每天空荡荡
27,武汉·汉口站,0,0.829681,30.62153636,114.24898,武汉大学研究生会,0.0766436,0.923356,0,2,0,01月20日 19:25,str,whugu,0,0.30871907,20,1,【速速转存！#新型冠状病毒感染的肺炎症状#有哪些？#春运如何严防新型冠状病毒# 你想知道的全在这里！】一图了解，扩散周知！#卫健委提醒病毒性肺炎防控事项#    （来源：青春湖北）
28,武汉·南湖新城家园,18,0.266389,30.49315916,114.3223613,蓬蓬滴世盖,0.536681,0.463319,1,1,0,01月20日 20:59,str,xiaozhuhu,0,2.931269894,10,1,为了预防肺炎，我直接买了一辆车 (虽然我还不会开)
29,武汉·徐东大街,3,0.620713,30.57885319,114.356581,娟娟Barbie,0.481036,0.518964,0,1,0,01月20日 20:44,str,juanjuanzeng,0,0.918169117,23,1,#上海确诊首例新型冠状病毒感染肺炎#肿么办还回不回去过年了
30,武汉·武商众圆广场,3,0.266427,30.62887293,114.3713312,微步丶,0.330108,0.669892,0,2,0,01月20日 20:44, , ,湖北,0.721320639,19,1,#境内确诊217例新型冠状病毒肺炎病例#就，在家躲着呗
